"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16899","testLoginWithLongEmail","All Test Suite","Sat Oct 26 20:03:43 BDT 2024","passed","Sat Oct 26 20:03:59 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithLongEmail"
"","29218","testLoginWithWhitespaceInEmail","All Test Suite","Sat Oct 26 20:08:03 BDT 2024","passed","Sat Oct 26 20:08:32 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithWhitespaceInEmail"
"","10356","testLoginWithSQLInjectionInEmail","All Test Suite","Sat Oct 26 20:06:24 BDT 2024","passed","Sat Oct 26 20:06:35 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithSQLInjectionInEmail"
"","10939","testLoginWithSpacesOnlyInEmail","All Test Suite","Sat Oct 26 20:05:40 BDT 2024","passed","Sat Oct 26 20:05:51 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithSpacesOnlyInEmail"
"","18012","testLoginWithValidCredentials","All Test Suite","Sat Oct 26 20:03:08 BDT 2024","passed","Sat Oct 26 20:03:26 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithValidCredentials"
"","11329","testLoginWithInvalidPhoneFormat","All Test Suite","Sat Oct 26 20:06:46 BDT 2024","passed","Sat Oct 26 20:06:57 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithInvalidPhoneFormat"
"","5071","testLoginWithWhitespaceInPassword","All Test Suite","Sat Oct 26 20:07:08 BDT 2024","broken","Sat Oct 26 20:07:13 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithWhitespaceInPassword"
"","11250","testLoginWithEmptyCredentials","All Test Suite","Sat Oct 26 20:08:47 BDT 2024","passed","Sat Oct 26 20:08:58 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithEmptyCredentials"
"","22628","testLoginWithSpacesOnlyInPassword","All Test Suite","Sat Oct 26 20:05:04 BDT 2024","passed","Sat Oct 26 20:05:27 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithSpacesOnlyInPassword"
"","37986","testLoginWithLongPassword","All Test Suite","Sat Oct 26 20:04:14 BDT 2024","passed","Sat Oct 26 20:04:52 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithLongPassword"
"","25742","testLoginWithSpecialCharactersInPassword","All Test Suite","Sat Oct 26 20:07:25 BDT 2024","passed","Sat Oct 26 20:07:51 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithSpecialCharactersInPassword"
"","14041","testLoginWithInvalidEmailFormat","All Test Suite","Sat Oct 26 20:09:09 BDT 2024","passed","Sat Oct 26 20:09:23 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithInvalidEmailFormat"
"","11460","testLoginWithScriptInjectionInEmail","All Test Suite","Sat Oct 26 20:06:02 BDT 2024","passed","Sat Oct 26 20:06:14 BDT 2024","testcase.TestLoginPage","D:/SQA/java-with-selenium-automation-official/HomeWorkByTalha/FacebookLoginPageAutomation/src/test/java/testcase","testcase.TestLoginPage","testLoginWithScriptInjectionInEmail"
